Maximized_for_Method,Preprocessing_Method,LS_Mean,LS_Std,LS_Shapiro_Stat,LS_Shapiro_Pval,LS_Ttest_Stat,LS_Ttest_Pval,LDA_Mean,LDA_Std,LDA_Shapiro_Stat,LDA_Shapiro_Pval,LDA_Ttest_Stat,LDA_Ttest_Pval,SVM_Mean,SVM_Std,SVM_Shapiro_Stat,SVM_Shapiro_Pval,SVM_Ttest_Stat,SVM_Ttest_Pval,Num_Subjects
RPCA_L,CAR,75.83333333333334,16.511179473891243,0.8602022464584154,0.0003963804120162965,,,75.23809523809524,17.47852585926948,0.8738982259088203,0.0008445103547442508,,,85.71428571428571,14.201138531853951,0.8311495483485397,8.86101419130295e-05,,,35
RPCA_L,RPCA_L,64.16666666666667,21.343747458109494,0.9468277962712975,0.09053583100552308,4.278748918514887,0.0001446541561840487,62.73809523809524,21.56898440899279,0.9613295757982024,0.2505707135558795,4.529596160731146,6.935869476800186e-05,81.9047619047619,13.022525400261406,0.934750938446581,0.0388061389560798,2.2957265252060552,0.027983706614146328,35
RPCA_L,RPCA_S,65.23809523809524,15.58842090184737,0.9436386727225837,0.07227556572139003,3.9926681947496836,0.000330697892242317,64.88095238095238,15.945272047860207,0.9500174020307635,0.11345983569131389,3.6943150262180104,0.000770262882068853,83.21428571428572,15.381578934606873,0.8561751222196914,0.0003193873054503494,1.3079994724036808,0.19964825521611704,35
RPCA_L,CAR_RPCA_L,65.47619047619047,23.666235504360337,0.9062176753495715,0.005835128028391361,2.96434455826421,0.005509572685036579,64.99999999999999,23.637473611411156,0.916205887448676,0.011101211280932345,3.188531644863376,0.003065943935909653,79.04761904761905,20.155292795303147,0.8513510588773623,0.0002474890926721412,3.51619629196613,0.0012633318347981947,35
RPCA_L,CAR_RPCA_S,62.976190476190474,19.512191665283694,0.9612342284667391,0.2489380254753696,4.050148905270561,0.00028039735684519623,62.61904761904763,18.620204567635383,0.9549154861368591,0.1603449106933357,4.559775573623251,6.345575607618656e-05,83.45238095238095,14.067782139735662,0.8869095894086976,0.0017912864340230753,1.6381172338113241,0.11062030919535366,35
RPCA_S,CAR,75.83333333333334,16.511179473891243,0.8602022464584154,0.0003963804120162965,,,75.23809523809524,17.47852585926948,0.8738982259088203,0.0008445103547442508,,,85.71428571428571,14.201138531853951,0.8311495483485397,8.86101419130295e-05,,,35
RPCA_S,RPCA_L,58.0952380952381,19.440151777539878,0.969820744651305,0.4383412878686999,6.643193200766693,1.274166971239291e-07,56.666666666666664,18.20844911154212,0.9759840871096863,0.6261505540505206,6.588052360663212,1.4994487854254506e-07,70.23809523809524,19.032732277820326,0.9447240514269112,0.07802828799221388,6.214144462261033,4.546786114139424e-07,35
RPCA_S,RPCA_S,70.35714285714286,16.053340791464354,0.9007517866401977,0.004142738557349507,2.2241053627169842,0.03288703833525441,70.35714285714286,14.99905514786842,0.912829327476373,0.008909649623524364,1.773852762365045,0.08504463460153669,94.16666666666666,9.193683131575153,0.6736112301454401,1.485833064195929e-07,-4.98611358591197,1.7904425164241954e-05,35
RPCA_S,CAR_RPCA_L,56.42857142857143,24.323033884042157,0.9445818124040167,0.07724865752629305,5.666251998855101,2.3379880729420517e-06,56.30952380952381,23.82915857066592,0.9240709216592695,0.018710432705117172,5.411316524523596,5.0189015330845854e-06,71.19047619047619,21.440472885433763,0.9422731126244834,0.06564636054698984,5.310255989898886,6.793346622609327e-06,35
RPCA_S,CAR_RPCA_S,68.92857142857143,15.978124217652686,0.9250326865317735,0.01996207665281386,2.9407167340676845,0.0058543314815408315,66.66666666666667,15.842729041805379,0.9124437334809308,0.008690085989022593,3.259876329160059,0.002534917717870772,89.64285714285712,11.285061263003875,0.8240357181902227,6.262975739955555e-05,-2.277854489697089,0.029141460573660998,35
CAR_RPCA_L,CAR,75.83333333333334,16.511179473891243,0.8602022464584154,0.0003963804120162965,,,75.23809523809524,17.47852585926948,0.8738982259088203,0.0008445103547442508,,,85.71428571428571,14.201138531853951,0.8311495483485397,8.86101419130295e-05,,,35
CAR_RPCA_L,RPCA_L,66.30952380952382,17.91102980462406,0.9387789847192036,0.051371632920068425,4.137677809519424,0.00021785069872980317,66.42857142857143,16.515470655571903,0.954740721204583,0.15838502825922465,4.301162633521314,0.00013550506919075923,75.95238095238096,17.368717154726973,0.9133480569067731,0.009214282982836986,6.882712868316053,6.299262572079015e-08,35
CAR_RPCA_L,RPCA_S,65.11904761904762,16.42943406982953,0.9450004807177087,0.07956634833416626,4.071900449312948,0.00026338357370610965,65.00000000000001,16.850180160122072,0.9560586852855059,0.17375555956216673,3.6934150811253557,0.0007722064450875384,83.80952380952382,14.79929979345027,0.8464174577078768,0.00019143669013750272,1.0428117144835245,0.30439389126018473,35
CAR_RPCA_L,CAR_RPCA_L,72.02380952380953,17.524682949247765,0.9094883616329934,0.007185346627952299,2.024334072457282,0.05084890878078574,72.50000000000001,17.343403668070774,0.8999433832361793,0.0039402948108593315,1.760065291746046,0.08739178674474969,87.3809523809524,12.774203384510658,0.8338334111031231,0.00010119783045192142,-2.9154759474226495,0.006245000733895191,35
CAR_RPCA_L,CAR_RPCA_S,68.09523809523809,18.975309174731354,0.9234258254184681,0.01791715497337084,2.8249877089211477,0.007856139970720025,66.66666666666669,19.543398999264287,0.916780635694803,0.011527568100699992,3.1488714707262853,0.0034053405757320412,84.04761904761905,14.38162250094325,0.8659225664165132,0.0005413637607440112,0.9947889171100518,0.3268664098861158,35
CAR_RPCA_S,CAR,75.83333333333334,16.511179473891243,0.8602022464584154,0.0003963804120162965,,,75.23809523809524,17.47852585926948,0.8738982259088203,0.0008445103547442508,,,85.71428571428571,14.201138531853951,0.8311495483485397,8.86101419130295e-05,,,35
CAR_RPCA_S,RPCA_L,56.19047619047619,20.34843868497286,0.9665192577847657,0.35498925177218066,6.36334235950353,2.9175408152489804e-07,55.833333333333336,19.47220240924654,0.9764408178751025,0.6412328090986066,6.411398034304015,2.529727631673272e-07,65.83333333333331,20.935463949806575,0.9463478653713046,0.08751469767054253,6.292734963562374,3.59863706911377e-07,35
CAR_RPCA_S,RPCA_S,72.26190476190476,15.004723368193401,0.9490611992936733,0.10603588804076752,1.5491933384829668,0.13059440662614336,70.83333333333334,15.236235005501102,0.9636571771931115,0.2935270214973369,1.828218027902316,0.07630222273976321,88.09523809523809,12.406109971536218,0.813255056703717,3.7518505162893804e-05,-1.1983797579859987,0.23905596494573253,35
CAR_RPCA_S,CAR_RPCA_L,57.26190476190476,21.160358479360806,0.9605114179248925,0.23687264084451792,5.649539513400199,2.4580316433905408e-06,57.38095238095238,21.317835569744993,0.959734290263414,0.22450097082780404,5.29648990186218,7.07924627714181e-06,70.23809523809524,21.085212064393698,0.9211633379791975,0.015402397301601617,5.005884021475007,1.6878892022969226e-05,35
CAR_RPCA_S,CAR_RPCA_S,72.38095238095238,16.758251766445497,0.9134087955443227,0.00925066373411161,1.4839976151429102,0.14702177966168406,70.95238095238095,16.858588853773902,0.9236403205120938,0.018176937237297238,1.6178874190146595,0.11492811534417754,94.8809523809524,8.158019856672292,0.6667764608520652,1.1799268154618791e-07,-5.727088651237591,1.9484961594510516e-06,35
